function, start time, duration, instructions count, DTCM LD, DTCM ST, Vec LD count, Vec ST count, Sc LD count, Sc ST count, I Fetch Count, IO Read, IO Write
arm_cmplx_conj_f32, 186049.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186048.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 186086.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 186083.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 186173.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186172.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
arm_cmplx_dot_prod_f32, 186210.000000, 33.000000, 26, 0, 0, 0, 0, 8, 3, 24, 0, 0
th_cmplx_dot_prod_f32, 186207.000000, 36.000000, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0
arm_cmplx_conj_f32, 186297.000000, 25.000000, 18, 0, 0, 0, 0, 5, 4, 16, 0, 0
th_cmplx_conj_f32, 186296.000000, 26.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
